job,location,company_name,work_type,job_details,days_since_post,min_applications,alumni_count,followers_count,min_employees,max_employees,job_type,experience_level
"Data Analyst, Trilogy (Remote) - $60,000/year USD","Delhi, Delhi, India",Crossover,Remote,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Analyst Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-Delhi-DataAnalyst.004",0.0,200,12.0,5395547.0,1001.0,5000.0,Full-time,Associate
"Data Analyst, Trilogy (Remote) - $60,000/year USD","New Delhi, Delhi, India",Crossover,Remote,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Analyst Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-NewDelhi-DataAnalyst.017",0.0,184,12.0,5395547.0,1001.0,5000.0,Full-time,Associate
Data Analyst,"Gurugram, Haryana, India",airtel,On-site,"About the job The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.Develop an In-depth understanding of user journeys on Airtel Digital Platforms and generate data driven insights & recommendations to help product business in meticulous decision making. Responsibilities: - Understand the day-to-day issues that our business faces, which can be better understood with data. Compile and analyse data related to business' issuesDevelop clear visualizations to convey complicated data in a straightforward fashion.Strong problem solving skills. Should be able to engage senior management with data.Experience in working on large datasets is a must. Key Competencies: - Knowledge of Databases - Ms Excel, Google Sheet, SQL, Hadoop & MS Access. Familiar with Hadoop Eco System & DartsData Analytics / Visualization tools - Tableau, R-Visualization Lib's, MS office suite & Power BI Ability to be hands-on as needed. Qualifications: -Bachelor's degree or equivalent. Experience: -1 - 2 years' Analysis experience.",0.0,200,132.0,972657.0,10001.0,200000.0,Full-time,Entry level
"Data Analyst, Trilogy (Remote) - $60,000/year USD","Bengaluru, Karnataka, India",Crossover,Remote,"About the job Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes? Are you looking for an entry-level role in the software industry that will give you the skills and exposure to move into any speciality later? We’re looking for curious individuals who love searching for meaningful answers. In this role, you’ll be given a business problem and will scour the internet for possible solutions. The problems will come from every area of our business: operations, finance, hiring, engineering, and more - giving you broad exposure. Not only will you gain knowledge, you’ll receive regular coaching and training from a team of global tech experts and operations professionals. Jumpstart your career with us today! What You Will Be Doing Research a variety of high-priority topics that are critical to the businessEvaluate results against provided evaluation criteria What You Won’t Be Doing Researching the same topics repeatedlyWorking on loosely-scoped research with desired outputs not clearly definedGetting lost chasing tangentially-related solutions; our systems and processes will help you focus your research and optimize your time Data Analyst Key Responsibilities Provide high-quality research data to support company-wide business decisions Basic Requirements Excellent written and verbal communication skillsBasic financial analysis skillsAbility to work in the US timezone About Trilogy Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds. There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you! Working with Crossover This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic. What to expect next: You will receive an email with a link to start your self-paced, online job application.Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments. Important! If you do not receive an email from us: First, emails may take up to 15 minutes to send, refresh and check again.Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply. Crossover Job Code: LJ-4718-IN-Bengalur-DataAnalyst.016",0.0,200,12.0,5395546.0,1001.0,5000.0,Full-time,Associate
Data Engineer,"Gurugram, Haryana, India",ReNew Power,On-site,"About the job About the organizationFounded in 2011, ReNew Power is a leading renewable energy company in India and 10th largest in terms of operational capacity, globally. A Nasdaq listed company under ticker RNW; ReNew develops, builds, owns, and operates utility-scale wind energy projects, utility-scale solar energy projects, utility scale firm power projects, and distributed solar energy projects. With a total capacity of more than 10GW (including projects in pipeline), ReNew Power’s solar and wind energy projects are spread across 110+ sites, with a presence spanning 8 states in India, contributing to 1.4% of India’s power capacity. Consequently, this has helped to avoid 0.5% of India’s total carbon emissions and 1.1% India’s total power sector emissions. In 10 years of its operation, ReNew Power has generated almost 1 lakh jobs, directly and indirectly.ReNew has achieved market leadership in the Indian renewable energy industry against the backdrop of the Government of India’s policies to promote growth of this sector. ReNew’s current group of stockholders contains several marquee investors including Goldman Sachs, CPP Investments, Abu Dhabi Investment Authority, GEF SACEF and JERA.Its mission is to play a pivotal role in meeting India’s growing energy needs in an efficient, sustainable, and socially responsible manner. ReNew Power is committed to providing clean, safe, affordable, and sustainable energy for all and has been at the forefront of leading climate action in India. Job PurposeReNew Power is World’s first renewable energy company to be recognized as a Lighthouse by World Economic Forum. The company has been recognized for adoption of 4 IR technologies to achieve growth that is not only profitable, but also sustainable. ReNew Digital (“ReD.”) has been instrumental in this. ReD. consistently work towards development of new advance analytic, AI and machine learning models that could lead to tangible business value to the organization. As a data engineer in ReD. You will help in developing high performance & high scalability enterprise applications using one or more leading cloud platforms across SaaS and PaaS. You will be working closely with the data architects to jointly develop the data architecture, ensure security and maintenance. Your role involves diagnosis of existing architecture and data maturity and help the organization in identifying gaps and possible solutions. You will also work with data scientists and business leadership to develop data pipelines for data science models. Your work will involve high level of interface with business heads and corporate leadership. Profile & Eligible Criteria2 to 7 years of demonstrable experience designing technological solutions to complex data problems, developing & testing modular, reusable, efficient and scalable code to implement those solutions 1. Understand, implement, and automate ETL pipelines with better industry standards2. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, design infrastructure for greater scalability, etc3. Developing, integrating, testing, and maintaining existing and new applications4. Design, and create data pipelines (data lake / data warehouses) for real world energy analytical solutions5. Expert-level proficiency in Python (preferred) for automating everyday tasks6. Strong understanding and experience in distributed computing frameworks, particularly Spark, Spark-SQL, Kafka, Spark Streaming, Hive, Azure Databricks etc7. Limited experience in using other leading cloud platforms preferably Azure.8. Hands on experience on Azure data factory, logic app, Analysis service, Azure blob storage etc.9. Ability to work in a team in an agile setting, familiarity with JIRA and clear understanding of how Git works10. Bachelor's degree in Computer Science, Engineering, Mathematics or Statistics11. Master's degree preferred Main Interfaces1. The role would require extensive internal interfacing with a tech lead, senior data scientists, and business leadership.",0.0,111,4.0,198797.0,501.0,1000.0,Full-time,Mid-Senior level
Developer,"Kolkata, West Bengal, India",Tata Consultancy Services,On-site,"About the job TCS is hiring for ARAS PLM Developer. Experience Range 3+ Years Location Bangalore Must-HaveHands in ARAS Innovator Configurations & CustomizationsGood knowledge in C#AML knowledge Good-to-HaveWorking experience in Agile methodologyGit working experience Roles and ResponsibilitiesActively contribute as a core developer on an Agile oriented team Design, implement and integrate features based on ARAS Innovator platform architecture Configure ARAS Innovator to match business requirements minimizing the customizations Unit testing for each Application and function test for each user story Support the Application maintenance supplier in the troubleshooting and problem investigation",0.0,14,10073.0,11917555.0,10001.0,200000.0,Full-time,Mid-Senior level
STIBO Lead developers (Functional),"Bengaluru, Karnataka, India",Elfonze Technologies,On-site,"About the job Key Skills: mandatorySystem Set-upUser Group & Privilege SetupSTEP Data Modelingo Attributeso Attribute groupso Data Containerso References· Web UI Configurationso Search Screenso Sub Screenso Pop-ups· Integration Endpointso Outbound integration Endpoints – using SOAP, REST & IDOCo Inbound integration Endpoints - using SOAP, REST & IDOCo Gateway integration Endpoints - using SOAP, REST & IDOC· STEP Workflow configuration· STEP Global Business ruleso Business ruleso Business actionso Business conditions· Packaging hierarchies & Change Packaging· Bulk data update· Export & Import configurations· XSL Transformations· STEP XML creations· Golden Records – Matching & Linking· Various STEP implementation techniques· STEP API & Extension APIFunctional Consultants:* Strong Functional and Technical knowledge on STIBO-STEP System.- 7+ years of experience on STIBO-STEP End to End Implementations.- exposure and real time experience in STEP Data Model/Configurations, workflow, Business Rules Development, STEP Portal configuration & Match and Making Algorithm.- strong Integration design experience such as STEP to SAP ECC & S/4, Third party systems,reporting, etc (Inbound/Outbound Integration End points).- Strong experience in STEP Asset management system- Strong experience in STEP version Upgrade, STIBO patch deployments, configuration movement between environments.- Strong and real time experience in Data Migration and Integration with downstream systems in STIBO’s STEP tool.- Strong experience in STIBO’s STEP Application installation in LinuxQualificationsBE/B.Tech7+ years of experience in STIBO STEP – MDM Solutions.Strong knowledge on MDM solutions (CMDM, SMDM, Multi-domain MDM) in STIBO STEP.Good oral and written communication is a must.Work Location: Bangalore, Pune, Coimbatore, Hyderabad",0.0,5,5.0,5168.0,51.0,200.0,Full-time,Mid-Senior level
Salesforce Developer Aura LWC,India,Applicantz,Remote,"About the job THIS IS A LONG TERM CONTRACT POSITION WITH ONE OF THE LARGEST, GLOBAL, TECHNOLOGY LEADER. Our large, Fortune client is ranked as one of the best companies to work with, in the world. The client fosters progressive culture, creativity, and a Flexible work environment. They use cutting-edge technologies to keep themselves ahead of the curve. Diversity in all aspects is respected. Integrity, experience, honesty, people, humanity, and passion for excellence are some other adjectives that define this global technology leader. Requirements3-5 years of excellent Salesforce configuration experience.SQL/PLSQL skill is a big plus.Hands on with Tibco configuration and debugging will be nice to have.3 to 5 years' experience Visual Force (able to come in and hit the ground running with this experience).6-9 years of relevant experience in related field or equivalent combination of experience and education. ResponsibilitiesDesign, develop, document, test, and debug new and existing software systems and/or applications for market sale or large-scale proprietary software for internal use.Serve as technical expert on development projects.Participate in full development life cycle including requirements analysis and design.Write technical specifications based on conceptual design and stated business requirements. Analyze code to find causes of errors and revise programs as needed.Participate in software design meetings and analyze user needs to determine technical requirements.Consult with end user to prototype, refine, test, and debug programs to meet needs.Considered highly skilled and proficient in discipline.Works under minimal supervision with wide latitude for independent judgment.",0.0,21,1.0,331816.0,51.0,200.0,Contract,Associate
Salesforce Developer,"Gurugram, Haryana, India",Genpact,On-site,"About the job Required:· Well versed with Object Oriented Programming· Well experienced in Design and development experience in Salesforce (APEX, Lightning).· Experience working on nCino, cloud banking software.· Strong understanding of Salesforce developer toolkit including object and fields, relationships, custom labels, profile management, field level security, permission sets, custom metadata, triggers, platform events, locker services, REST APIs etc.· Hands on experience with a very good understanding of Salesforce Lightning Aura and web technologies, such as HTTP, JavaScript, HTML, and CSS.· Must have a done integration of Salesforce with any of third-party services.· Strong understanding of SFDC Platform & its best development practices.· Must have worked on at least one of the version control tools like SVN, Sourcetree etc. and any one of the IDEs such as Eclipse, Intellij, and Sublime etc.· Must be aware of writing functional test cases in APEX.Preferred:· Experience with at least 3+ years.· Hands on experience in the development of web applications through all layers of an application (frontend, integration, application/business logic, etc.). · Knowledge of any of Cloud Platform Services of Microsoft Azure or AWS or Google Cloud.· Used to work in an agile (scrum) environment· Knowledge of Salesforce Lightning Web Components.· Knows Jira or other backlog management tools (e.g. Version One)· Working knowledge of Git· Salesforce Certifications",0.0,85,1773.0,2492017.0,10001.0,200000.0,Full-time,Mid-Senior level
AWS Data Engineer,"Delhi, India",Tata Consultancy Services,On-site,"About the job Greetings From TCS!!! TCS has always been in the spotlight for being adept in “the next big technologies”. What we can offer you is a space to explore varied technologies and quench your techie soul.We are having a scheduled interview on this Saturday that is 11th of February 2023. Interested candidates, please share your resume on akanksha.t2@tcs.com Role: AWS Data Engineer Experience : 4-12 years Location : PAN India Desired Competencies (Technical/Behavioral Competency):Must-Have:· AWS Data Engineer (EMR, RedShift, Lambda, Glue, Athena, S3, Teradata, Vertica etc)· Experience in BIG Data technologies (Hadoop, Spark, Hive etc.) and scripting language like Python etc.· Database (such as Oracle, MySQL, PostgreSQL, MS SQL Server) and Data Warehouses (such as Redshift, Teradata, Vertica)· In depth understanding of Cloud Architecture & ability to advice/work on end-to-end cloud infrastructure· Development of Cloud workflows and processes· Designing and Developing Monitoring solutions using AWS native services· Designing & Developing AWS Cloud Based Systems using Cloud Formation or Terraform Current Org:Total Exp:Current CTC:Expected CTC:Notice Period: Note:EX-TCS(Fulltime employee) cannot not be eligible for rehire.Candidates with less than 2 years of experience will not be considered.",0.0,42,10073.0,11917579.0,10001.0,200000.0,Full-time,Mid-Senior level
